Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Bobby Miller","LAD",0.32421875,1.794871794,0.189591078,0.520446096,0.289962825,0.051282051,0.192307692,552,954,1506,0.39114391,0.33210332,0.27675277,0.16236162,0.48339483,0.35424354,"Bobby Miller",27483,676272
"Peter Solomon","- - -",0.2708333333333333,1.235294117,0.208333333,0.4375,0.354166666,0.176470588,0,99,140,239,0.39583333,0.29166667,0.3125,0.125,0.52083333,0.35416667,"Peter Solomon",20476,656981
"Nick Margevicius","- - -",0.2987012987012987,1.294871794,0.241525423,0.427966101,0.330508474,0.115384615,0.153846153,509,812,1321,0.44444444,0.28806584,0.26748971,0.1563786,0.48971193,0.35390947,"Nick Margevicius",20395,676606
"James Sherfy","- - -",0.3387096774193548,0.88,0.253968253,0.349206349,0.396825396,0.12,0.12,99,207,306,0.46153846,0.32307692,0.21538462,0.2,0.44615385,0.35384615,"James Sherfy",15118,642073
"Mark Melancon","- - -",0.3232876712328767,2.142857142,0.229110512,0.525606469,0.245283018,0.065934065,0.12087912,693,1221,1914,0.36968085,0.39893617,0.23138298,0.1462766,0.5,0.3537234,"Mark Melancon",4264,453343
"Jose E. Hernandez","PIT",0.3010752688172043,0.785714285,0.234693877,0.336734693,0.428571428,0.142857142,0.142857142,193,391,584,0.42424242,0.31313131,0.26262626,0.14141414,0.50505051,0.35353535,"Jose E. Hernandez",22318,669796
"Jon Lester","- - -",0.312157721796276,1.235119047,0.212788259,0.435010482,0.352201257,0.071428571,0.163690476,1961,3143,5104,0.45041322,0.34090909,0.20867769,0.16632231,0.4803719,0.35330579,"Jon Lester",4930,452657
"Matt Koch","- - -",0.21621621621621623,1.266666666,0.142857142,0.478991596,0.37815126,0.111111111,0.177777777,194,342,536,0.33613445,0.43697479,0.22689076,0.19327731,0.45378151,0.35294118,"Matt Koch",13420,571863
"Hunter Wood","- - -",0.27848101265822783,0.634146341,0.202380952,0.309523809,0.488095238,0.097560975,0.146341463,157,312,469,0.38823529,0.31764706,0.29411765,0.18823529,0.45882353,0.35294118,"Hunter Wood",15091,621056
"Domingo Germán","- - -",0.26833631484794274,1.235023041,0.18624161,0.449664429,0.364093959,0.124423963,0.184331797,1112,2229,3341,0.51337793,0.34113712,0.14548495,0.15886288,0.48829431,0.35284281,"Domingo German",17149,593334
"Tommy Milone","- - -",0.28705882352941176,0.808290155,0.219239373,0.348993288,0.431767337,0.088082901,0.134715025,767,1456,2223,0.45011086,0.36807095,0.18181818,0.17960089,0.46784922,0.35254989,"Tommy Milone",7608,543548
"Trevor Rogers","- - -",0.2925531914893617,1.128146453,0.201716738,0.423175965,0.375107296,0.068649885,0.102974828,2296,4409,6705,0.42235495,0.34641638,0.23122867,0.15443686,0.49317406,0.35238908,"Trevor Rogers",22286,669432
"Ervin Santana","- - -",0.3,0.948275862,0.209790209,0.384615384,0.405594405,0.068965517,0.086206896,264,479,743,0.39310345,0.35172414,0.25517241,0.16551724,0.48275862,0.35172414,"Ervin Santana",3200,429722
"Carlos Martinez","STL",0.2863849765258216,1.68115942,0.147465437,0.534562211,0.31797235,0.057971014,0.130434782,440,791,1231,0.37387387,0.36036036,0.26576577,0.16216216,0.48648649,0.35135135,"Carlos Martinez",11682,593372
"Sam Dyson","- - -",0.2777777777777778,1.931034482,0.182692307,0.538461538,0.278846153,0.137931034,0.103448275,164,336,500,0.36036036,0.37837838,0.26126126,0.18918919,0.45945946,0.35135135,"Sam Dyson",11710,473879
"Bryse Wilson","- - -",0.2813299232736573,1.114006514,0.201722017,0.420664206,0.377613776,0.091205211,0.133550488,1270,2601,3871,0.40947752,0.35236938,0.2381531,0.14580802,0.50303767,0.35115431,"Bryse Wilson",19990,669060
"Matthew Liberatore","STL",0.30993377483443707,0.888888888,0.232258064,0.361290322,0.406451612,0.066666666,0.107936507,1450,2619,4069,0.39036755,0.34980989,0.25982256,0.10773131,0.54119138,0.35107731,"Matthew Liberatore",22294,669461
"Shota Imanaga","CHC",0.23873873873873874,0.695156695,0.165497896,0.342215988,0.492286115,0.128205128,0.139601139,1170,2533,3703,0.45874126,0.32587413,0.21538462,0.16083916,0.48811189,0.35104895,"Shota Imanaga",33829,684007
"Mitch White","- - -",0.3220338983050847,1.103448275,0.183946488,0.428093645,0.387959866,0.129310344,0.060344827,548,1052,1600,0.35430464,0.37417219,0.27152318,0.16556291,0.48344371,0.35099338,"Mitch White",19225,669952
"Nick Robertson","- - -",0.3018867924528302,1,0.157894736,0.421052631,0.421052631,0.125,0.166666666,112,206,318,0.43859649,0.35087719,0.21052632,0.1754386,0.47368421,0.35087719,"Nick Robertson",26226,687798
"Spenser Watkins","- - -",0.30293159609120524,0.792857142,0.225308641,0.342592592,0.432098765,0.107142857,0.128571428,555,940,1495,0.44923077,0.29230769,0.25846154,0.12,0.52923077,0.35076923,"Spenser Watkins",17489,657093
"Joan Adon","WSN",0.3300970873786408,1.578125,0.221698113,0.476415094,0.301886792,0.078125,0.125,455,760,1215,0.46728972,0.29439252,0.23831776,0.18224299,0.46728972,0.35046729,"Joan Adon",22925,672851
"Kyle Muller","- - -",0.33078880407124683,1.136054421,0.226600985,0.411330049,0.362068965,0.074829931,0.122448979,883,1437,2320,0.44038929,0.32846715,0.23114355,0.11678832,0.53284672,0.35036496,"Kyle Muller",20167,666205
"Zebby Matthews","MIN",0.3508771929824561,0.930555555,0.210227272,0.380681818,0.409090909,0.097222222,0.083333333,316,634,950,0.3220339,0.38418079,0.29378531,0.20903955,0.44067797,0.35028249,"Zebby Matthews",31827,805673
"Bryan Shaw","- - -",0.28501228501228504,1.076023391,0.185779816,0.422018348,0.392201834,0.070175438,0.175438596,1002,1526,2528,0.30663616,0.41418764,0.2791762,0.14874142,0.50114416,0.35011442,"Bryan Shaw",8110,543766
"Dominic Leone","- - -",0.2916666666666667,1.164179104,0.22459893,0.417112299,0.35828877,0.059701492,0.149253731,797,1384,2181,0.34473684,0.36842105,0.28684211,0.12105263,0.52894737,0.35,"Dominic Leone",13763,608678
"Walker Buehler","- - -",0.261271676300578,1.12979351,0.199556541,0.424611973,0.375831485,0.097345132,0.15339233,1746,3376,5122,0.35846995,0.36612022,0.27540984,0.15191257,0.49836066,0.34972678,"Walker Buehler",19374,621111
"Noé Ramirez","- - -",0.26394052044609667,0.776923076,0.183745583,0.356890459,0.459363957,0.123076923,0.13076923,658,1237,1895,0.43356643,0.32167832,0.24475524,0.18181818,0.46853147,0.34965035,"Noe Ramirez",12800,598287
"Sean Doolittle","- - -",0.3142857142857143,0.408333333,0.242152466,0.219730941,0.538116591,0.175,0.133333333,461,876,1337,0.41150442,0.34513274,0.24336283,0.19469027,0.45575221,0.34955752,"Sean Doolittle",1581,448281
"Garrett Crochet","- - -",0.30038022813688214,1.169381107,0.189781021,0.436739659,0.373479318,0.110749185,0.133550488,1830,3599,5429,0.40722892,0.3313253,0.26144578,0.16987952,0.48072289,0.34939759,"Garrett Crochet",27463,676979
"Chris Murphy","BOS",0.26618705035971224,1.630434782,0.159722222,0.520833333,0.319444444,0.108695652,0.152173913,330,547,877,0.50684932,0.24657534,0.24657534,0.1369863,0.51369863,0.34931507,"Chris Murphy",26214,669684
"Matt Harvey","- - -",0.3333333333333333,1.694444444,0.224,0.488,0.288,0.064814814,0.194444444,658,1149,1807,0.38359788,0.35714286,0.25925926,0.14021164,0.51058201,0.34920635,"Matt Harvey",11713,518774
"Luke Jackson","- - -",0.3304535637149028,2.1328125,0.161087866,0.571129707,0.267782426,0.125,0.1640625,1112,1921,3033,0.47520661,0.35330579,0.1714876,0.15289256,0.49793388,0.34917355,"Luke Jackson",11752,592426
"Keider Montero","DET",0.3046594982078853,1.09009009,0.213559322,0.410169491,0.376271186,0.135135135,0.144144144,476,1017,1493,0.45423729,0.30847458,0.23728814,0.16271186,0.48813559,0.34915254,"Keider Montero",22630,672456
"Cory Gearrin","- - -",0.3076923076923077,1.285714285,0.245283018,0.424528301,0.330188679,0.028571428,0.057142857,221,373,594,0.4245283,0.30188679,0.27358491,0.20754717,0.44339623,0.3490566,"Cory Gearrin",7947,518715
"José Cisnero","- - -",0.27906976744186046,1.161073825,0.188916876,0.435768261,0.375314861,0.154362416,0.114093959,837,1437,2274,0.32920792,0.37623762,0.29455446,0.17326733,0.47772277,0.3490099,"Jose Cisnero",6399,542585
"Nik Turley","PIT",0.18604651162790697,0.888888888,0.19047619,0.38095238,0.428571428,0.055555555,0,83,147,230,0.51162791,0.20930233,0.27906977,0.09302326,0.55813953,0.34883721,"Nik Turley",5530,543867
"Juan Minaya","- - -",0.27049180327868855,1.222222222,0.21875,0.4296875,0.3515625,0.177777777,0.155555555,287,510,797,0.41860465,0.33333333,0.24806202,0.15503876,0.49612403,0.34883721,"Juan Minaya",10341,573668
"Reymin Guduan","- - -",0.475,0.8,0.372093023,0.279069767,0.348837209,0.133333333,0.2,83,148,231,0.44186047,0.23255814,0.3255814,0.1627907,0.48837209,0.34883721,"Reymin Guduan",13058,594056
"Justin Anderson","- - -",0.2972972972972973,1,0.226666666,0.386666666,0.386666666,0.103448275,0.068965517,424,651,1075,0.36184211,0.36184211,0.27631579,0.15131579,0.5,0.34868421,"Justin Anderson",16201,605121
"Jhonathan Díaz","- - -",0.3523809523809524,1.307692307,0.174311926,0.467889908,0.357798165,0.076923076,0.102564102,228,354,582,0.4587156,0.30275229,0.23853211,0.13761468,0.51376147,0.34862385,"Jhonathan Diaz",20298,646242
"Matt Hall","- - -",0.3548387096774194,1.217391304,0.227272727,0.424242424,0.348484848,0.130434782,0.173913043,175,267,442,0.42424242,0.28787879,0.28787879,0.15151515,0.5,0.34848485,"Matt Hall",18076,664180
"Jaime Barria","LAA",0.27304347826086955,0.872180451,0.186274509,0.379084967,0.434640522,0.09774436,0.157894736,1038,1938,2976,0.46353323,0.33225284,0.20421394,0.16207455,0.48946515,0.34846029,"Jaime Barria",18356,642545
"Bryce Miller","SEA",0.26475849731663686,1.133640552,0.19337979,0.428571428,0.37804878,0.101382488,0.087557603,1057,2162,3219,0.39514731,0.3830156,0.22183709,0.14558059,0.50606586,0.34835355,"Bryce Miller",29837,682243
"Joey Lucchesi","- - -",0.2834890965732087,0.988929889,0.182094081,0.406676783,0.411229135,0.088560885,0.110701107,1379,2281,3660,0.3125,0.39583333,0.29166667,0.13541667,0.51636905,0.34821429,"Joey Lucchesi",19320,664192
"Bowden Francis","TOR",0.24803149606299213,0.776,0.171641791,0.361940298,0.46641791,0.12,0.128,518,1041,1559,0.45925926,0.26666667,0.27407407,0.14444444,0.50740741,0.34814815,"Bowden Francis",20548,670102
"Chris Flexen","- - -",0.3156934306569343,0.914529914,0.214035087,0.375438596,0.410526315,0.102564102,0.111111111,2119,3590,5709,0.37369338,0.3684669,0.25783972,0.13228895,0.51958225,0.34812881,"Chris Flexen",13896,623167
"Jesús Luzardo","- - -",0.3007784854918613,0.936560934,0.212491513,0.380855397,0.406653088,0.093489148,0.125208681,3350,5752,9102,0.42271505,0.3219086,0.25537634,0.15793011,0.49395161,0.34811828,"Jesus Luzardo",19959,666200
"Clayton Kershaw","LAD",0.275390625,1.433206106,0.194058154,0.474715549,0.331226295,0.129770992,0.146946564,3081,6024,9105,0.51460534,0.29397141,0.19142324,0.17153511,0.48042262,0.34804226,"Clayton Kershaw",2036,477132
"Jack Leiter","TEX",0.3282442748091603,0.887931034,0.191881918,0.3800738,0.42804428,0.137931034,0.103448275,580,1010,1590,0.41025641,0.37362637,0.21611722,0.19047619,0.46153846,0.34798535,"Jack Leiter",30146,683004
"Dan Otero","CLE",0.375,2.8,0.173913043,0.608695652,0.217391304,0,0.333333333,87,173,260,0.39130435,0.42028986,0.1884058,0.24637681,0.4057971,0.34782609,"Dan Otero",7385,519096
"Jake Reed","- - -",0.3181818181818182,1.111111111,0.161764705,0.44117647,0.397058823,0.185185185,0.111111111,125,252,377,0.28985507,0.36231884,0.34782609,0.15942029,0.49275362,0.34782609,"Jake Reed",16209,596082
"Trevor Megill","- - -",0.3286219081272085,0.837209302,0.202020202,0.363636363,0.434343434,0.100775193,0.124031007,571,1154,1725,0.29765886,0.37792642,0.32441472,0.14046823,0.51170569,0.34782609,"Trevor Megill",17722,656730
"Tyler Wells","BAL",0.2217741935483871,0.538194444,0.168855534,0.290806754,0.540337711,0.125,0.135416666,989,1919,2908,0.38878505,0.34953271,0.26168224,0.14953271,0.50280374,0.34766355,"Tyler Wells",20000,669330
