Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Marcus Stroman","- - -",8.198053166270256,2.9315380603075027,-6.22265200689435,18.23512251675129,-0.28303734958171844,,,0.1365204523941758,0.10307799086875888,-0.28452912697276406,1.5995721505922185,-0.02073533696569366,,,"Marcus Stroman",13431,573186
"Taylor Rogers","- - -",3.5212161540985107,16.73624551296234,-2.8599610328674316,-0.6084591150283813,,,,0.12363820765795333,0.548549508782771,-16.823300193337833,-1.3828616250645032,,,,"Taylor Rogers",13449,573124
"Daniel Norris","- - -",-11.192014902830124,0.5639139972627163,,-2.303622629493475,0.8608022853732109,,,-0.4558865540867668,0.04714999977113012,,-1.3471477365458917,0.06688440445790295,,,"Daniel Norris",13475,596057
"Blake Snell","- - -",21.171032667160034,23.95120397210121,,26.409719824790955,16.246483027935028,,,0.31626878797669605,1.1383652077994872,,1.0280155634406756,0.7913532892321008,,,"Blake Snell",13543,605483
"Jakob Junis","- - -",-33.63906492292881,32.25512659549713,2.4154558926820755,,-13.717412620782852,,,-0.9223763346018319,0.7332377039212806,1.446380774061123,,-1.5241569578647614,,,"Jakob Junis",13619,596001
"Clay Holmes","- - -",15.264349266886711,15.524664551019669,2.7176360562443733,-1.5759903192520142,2.3532181680202484,,,0.32968356947919464,0.6967982293994466,1.1815808940192927,-0.4125629107989566,0.5324023004570698,,,"Clay Holmes",13649,605280
"Max Fried","- - -",57.62427473068237,15.197881788015366,,36.06660547852516,14.606025733053684,,,0.6939339442519553,0.5548697257398819,,1.0202717249936397,0.9855617903544996,,,"Max Fried",13743,608331
"Chris Stratton","- - -",-0.1790403127670288,-12.54370304942131,,1.577704668045044,-1.9948223251849413,,,-0.005013730405125422,-0.8889938376627434,,0.10574428070006998,-0.2972909575536425,,,"Chris Stratton",13761,608717
"Zach Eflin","- - -",12.455394476652145,5.258917421102524,-3.356822408735752,-6.88494424149394,-4.678105317056179,,,0.21582731721802367,0.3224351576396397,-0.15931762737236602,-0.3487813698831783,-0.4867955584865951,,,"Zach Eflin",13774,621107
"Alex Wood","- - -",1.0040996074676514,-1.5304030179977417,,-4.599125564098358,-15.235186517238617,,,0.02804747506892881,-0.07023419082137411,,-2.044055806265937,-0.8549487383411121,,,"Alex Wood",13781,622072
"Matt Strahm","- - -",18.034363567829132,11.666500963270664,4.973747968673706,13.746490404009819,-10.155125673860312,,,0.5290221052457944,0.7282460027010402,1.1486715862987773,2.6640485279088795,-2.693667287496104,,,"Matt Strahm",13799,621381
"Chris Flexen","- - -",-24.23977467417717,-8.843885198235512,-5.903437435626984,-11.285982508212328,5.160505652427673,,,-0.5722326410334554,-1.2249148474010403,-0.19876893722649774,-1.095726457107993,0.3316520342177168,,,"Chris Flexen",13896,623167
"Brent Suter","- - -",17.857960626482964,-4.244910053908825,,-5.274897571653128,5.863838508725166,,,0.40874251834476916,-0.7158364340487058,,-5.222670863022898,0.4635445461442819,,,"Brent Suter",13942,608718
"Michael Wacha","- - -",-17.943273350596428,-5.872893214225769,-19.47644752264023,-12.446346398442984,60.18175321444869,,,-0.29614248804417276,-1.0997927367463987,-0.8387789630766678,-1.0674396568132918,1.4543681298803453,,,"Michael Wacha",14078,608379
