"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Holton, Tyler","663947","231","10.2",31.2,"112.6","87.7","75.5","92","85.8","435","150","398","87",37.7,"19",8.2,6.1
"Ferrer, Jose A.","678606","230","0.8",27.4,"112.6","89.1","77.2","90.7","88.4","436","113","399","97",42.2,"11",4.8,3.4
"Canning, Griffin","656288","223","7.8",31.8,"113.8","91.2","81","95","89.4","432","154","377","102",45.7,"21",9.4,6.4
"Blalock, Bradley","687134","222","12.8",36.5,"113.7","91.4","80.7","94.7","87.3","446","183","413","102",45.9,"27",12.2,9.8
"Gomber, Austin","596295","220","18.2",38.6,"115.9","88.1","76.2","92.8","82.9","453","196","419","87",39.5,"32",14.5,11.8
"Peralta, Wandy","593974","218","3.7",29.4,"116.2","87.6","75.3","93.5","83.9","412","130","379","79",36.2,"15",6.9,4.8
"Suter, Brent","608718","218","13.5",33.5,"111.3","85.8","73.6","90.3","82.3","425","167","399","70",32.9,"17",7.8,5.8
"Hicks, Jordan","663855","215","5.8",31.6,"115.2","90","79","93.6","88.4","423","130","383","98",45.6,"10",4.7,3.2
"Hill, Tim","657612","215","-2.2",21.4,"114.1","90","78.7","93.6","88.4","424","112","395","97",45.1,"17",7.9,6.3
"López, Pablo","641154","215","14.4",39.5,"116.5","88.7","77.8","92.9","84.8","414","172","408","76",35.3,"13",6,4.2
"Glasnow, Tyler","607192","214","11.1",33.2,"111.9","88.2","77.4","91.3","86","407","164","386","80",37.4,"17",7.9,4.6
"Bergert, Ryan","686701","214","20",40.7,"110.9","90","81","92.3","86.3","426","196","400","78",36.4,"15",7,4.6
"Milner, Hoby","571948","212","6.7",27.8,"115.4","88.4","77.9","93.5","85.1","434","142","407","78",36.8,"19",9,6.5
"Sands, Cole","663485","212","12.4",32.1,"113.2","89.4","78.4","93.6","86.8","418","163","391","88",41.5,"21",9.9,7
"Schmidt, Clarke","657376","212","19.6",32.5,"112.5","88.1","77.1","93.3","82.2","433","186","391","75",35.4,"14",6.6,4.4
"Lynch IV, Daniel","663738","212","10.4",27.8,"116","88.6","76.9","95.5","84.5","447","152","422","90",42.5,"17",8,5.9
"Dreyer, Jack","676263","209","17",30.6,"109.6","90.3","81","93.7","87.7","417","168","402","83",39.7,"11",5.3,3.6
"Allard, Kolby","663465","209","17.8",34.4,"115.5","88.2","77.5","92.2","87.6","431","168","389","75",35.9,"12",5.7,4.5
"Rocker, Kumar","677958","204","8.3",34.3,"114.1","91.2","79.8","94.8","88.6","456","159","412","97",47.5,"24",11.8,8.4
"Hanifee, Brenan","669724","204","4.1",29.9,"115.6","90.5","79.5","95.6","87.3","406","133","384","91",44.6,"14",6.9,5.4
"Chivilli, Angel","683409","203","5.6",31.5,"114.3","89.9","78.2","95.4","85.3","445","148","399","87",42.9,"20",9.9,7.3
"Darvish, Yu","506433","203","15.3",32.5,"115","87.3","76.4","93","82.6","423","170","395","67",33,"18",8.9,6.1
"King, Michael","650633","202","15.8",35.1,"113","87.8","75.3","92.3","85.1","437","169","394","77",38.1,"23",11.4,7.5
"Eisert, Brandon","685126","202","13.2",38.6,"111.7","87.8","76.4","92.3","82.9","431","171","388","75",37.1,"19",9.4,6.2
"Bazardo, Eduard","660825","202","15.1",32.7,"114.2","88.5","77.7","92.6","85.8","411","173","389","75",37.1,"19",9.4,6.1
"Francis, Bowden","670102","201","20.7",34.3,"113.1","91.6","81.1","95.2","89","426","187","386","105",52.2,"25",12.4,8.7
"Morejon, Adrian","670970","199","5.1",30.2,"111.5","85.9","74","90.6","83.4","426","129","413","61",30.7,"8",4,2.8
"Kinley, Tyler","641755","199","20.5",34.7,"112.8","87","75.9","91","83.6","450","184","416","59",29.6,"14",7,4.5
"Topa, Justin","623437","197","7.7",35,"114.5","89.3","77.6","93.4","88","396","147","385","88",44.7,"11",5.6,4.1
"Varland, Louis","686973","197","5.3",33.5,"112.9","90.2","79.2","94.5","88.1","412","139","393","86",43.7,"18",9.1,6.1
"Weissert, Greg","669711","197","13.5",35.5,"115.7","89.8","80.2","93","88","439","165","393","76",38.6,"15",7.6,5.4
"Junis, Jakob","596001","197","12.4",30.5,"109.8","87.6","75.7","93.2","82.6","423","158","379","76",38.6,"12",6.1,4.4
"Ashcraft, Braxton","677952","195","9.1",30.8,"111.5","88","76.4","92.7","85.1","418","148","389","75",38.5,"9",4.6,3.1
"Ashcraft, Graham","668933","195","4.7",29.7,"112.8","84.8","71.4","90.8","82.5","414","121","384","63",32.3,"8",4.1,2.8
"Meyer, Max","676974","195","8.7",30.3,"112.7","91.9","82","95.1","89.7","429","151","391","94",48.2,"18",9.2,6.3
"Anderson, Grant","681982","194","12.2",31.4,"117.9","88.8","77.3","91.7","86.7","428","159","392","74",38.1,"10",5.2,3.3
"Zerpa, Angel","672582","193","0",30.1,"111.2","89.5","78.2","94.5","86.7","435","121","405","83",43,"16",8.3,5.8
"Banks, Tanner","621383","193","14.9",39.9,"112.3","87.8","76.4","91.6","83.3","427","180","395","71",36.8,"15",7.8,5.6
"De Los Santos, Enyel","660853","192","16.8",38,"114","87.6","74.8","91.9","84.1","450","175","412","77",40.1,"17",8.9,6.1
"Rodríguez, Yariel","684320","192","15.8",39.1,"109.3","86.4","74","90.8","82.9","415","166","393","69",35.9,"18",9.4,6
"Dobbins, Hunter","690928","192","9.5",31.8,"111.3","89.3","77.9","94.3","85.5","436","151","393","80",41.7,"13",6.8,5.1
"Buttó, José","676130","191","8.6",29.8,"112.6","90.1","79.7","95.4","85.7","440","154","413","76",39.8,"18",9.4,6.3
"Santillan, Tony","663574","191","17.4",35.1,"114.3","91.8","81.4","94.5","91.2","437","175","395","87",45.5,"16",8.4,5.3
"Ferguson, Caleb","657571","191","5.6",35.6,"112.2","84.8","72.9","88.7","82.3","451","141","435","53",27.7,"6",3.1,2.2
"King, Bryan","687911","191","14.4",33,"109","88.4","78.1","92","85.7","411","162","387","69",36.1,"11",5.8,4
"Santana, Dennis","642701","190","15.9",33.2,"112.9","88.9","78.5","93.7","83.5","425","185","410","71",37.4,"20",10.5,7.4
"Olson, Reese","681857","190","12",36.8,"112.7","91.5","81.7","93.3","90.6","418","163","395","85",44.7,"14",7.4,4.9
"Estévez, Carlos","608032","189","23.4",35.4,"111.8","89.1","78.5","92.4","86.2","412","191","393","72",38.1,"20",10.6,7.4
"Webb, Jacob","657097","188","23",30.3,"114.8","86.6","75.1","90.5","83.7","431","182","392","65",34.6,"11",5.9,4.1
"Yarbrough, Ryan","642232","188","15.5",39.9,"113.8","86.1","73.7","89.7","82.9","440","173","385","64",34,"13",6.9,4.9
"Bachar, Lake","669199","188","17.7",38.3,"111.4","90.3","80.4","95.7","84.3","425","184","409","78",41.5,"20",10.6,6.8
"Birdsong, Hayden","806185","188","20",36.2,"113","89.8","79.2","94","86.6","443","183","402","88",46.8,"18",9.6,6
"Gómez, Yoendrys","672782","187","17.5",36.9,"116.7","89.4","79.1","93.9","84.2","424","187","386","70",37.4,"23",12.3,8.3
"Young, Brandon","687064","187","13.3",32.1,"113.7","89.4","78.2","95.6","83.6","429","164","391","79",42.2,"19",10.2,7.4
"Vest, Will","676684","186","6.1",24.7,"113.7","88.8","77.5","91.5","87.9","417","128","398","77",41.4,"8",4.3,2.8
"Kahnle, Tommy","592454","185","11.5",32.4,"110.4","88.3","77.4","93.4","85","431","145","399","69",37.3,"17",9.2,6.4
"Duran, Jhoan","661395","185","-2.4",22.2,"113.6","89.4","77.7","92.4","88.3","424","107","403","77",41.6,"8",4.3,2.8
"Ureña, José","570632","185","15.5",36.2,"112.6","89.6","78.5","94.6","84.4","438","176","409","74",40,"24",13,9.8
"Wrobleski, Justin","680736","184","6.9",30.4,"112.4","92","81.7","94","91.9","422","142","404","88",47.8,"7",3.8,2.5
"Burke, Brock","656271","184","8.4",29.9,"113.8","89","77","92.6","87.2","425","148","382","75",40.8,"13",7.1,5.1
"Schlittler, Cam","693645","184","14.5",41.3,"114","89","78.2","92.9","85.2","443","178","406","74",40.2,"15",8.2,4.9
"Armstrong, Shawn","542888","184","19.1",32.6,"113.7","88","77.7","91.4","84.8","443","180","415","63",34.2,"13",7.1,4.6
"Uceta, Edwin","670955","183","17.2",39.3,"113.6","88.6","77","93.3","82.7","425","188","397","67",36.6,"17",9.3,5.3
