"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Profar, Jurickson",595777,"SD","CH","Changeup",-1.1,-3,"297",14.1,"74","0.162","0.279","0.229",27.7,18.9,18.2,"0.221","0.317","0.268",33.3
"Vázquez, Christian",543877,"MIN","SI","Sinker",-2.1,-6,"286",21.6,"74","0.275","0.348","0.31",17,16.2,25.5,"0.279","0.419","0.328",35.1
"Duran, Ezequiel",677649,"TEX","SI","Sinker",1,2,"245",14.8,"74","0.365","0.429","0.405",6.7,8.1,12,"0.318","0.381","0.358",51.7
"Senzel, Nick",669222,"CIN","SI","Sinker",-1.3,-3,"247",20.8,"74","0.242","0.318","0.315",8.3,12.2,17.3,"0.288","0.383","0.338",31.6
"Garrett, Stone",656448,"WSH","FF","4-Seam Fastball",0,0,"298",28.7,"74","0.295","0.41","0.349",25.6,27,19.6,"0.279","0.42","0.354",62.8
"Seager, Corey",608369,"TEX","SL","Slider",1.7,5,"297",16.1,"74","0.309","0.471","0.357",29.7,20.3,16,"0.286","0.514","0.359",42.6
"Wong, Connor",657136,"BOS","SL","Slider",-0.4,-1,"265",17.2,"74","0.271","0.357","0.297",43.1,48.6,34.3,"0.205","0.363","0.265",44.1
"Wong, Kolten",543939,"LAD","FF","4-Seam Fastball",-0.4,-1,"291",29.6,"73","0.3","0.433","0.376",14.1,11,11.9,"0.311","0.426","0.381",35.8
"Maldonado, Martín",455117,"HOU","SI","Sinker",-0.9,-3,"279",17.6,"73","0.266","0.391","0.325",26.2,21.9,25.4,"0.276","0.427","0.341",40
"Stott, Bryson",681082,"PHI","SL","Slider",3.1,8,"260",9.8,"73","0.29","0.638","0.403",17.3,11,9.5,"0.278","0.544","0.351",41.3
"Duffy, Matt",622110,"KC","FF","4-Seam Fastball",-0.6,-2,"253",33.7,"73","0.227","0.379","0.326",8.9,13.7,14.7,"0.282","0.412","0.336",33.9
"McKinstry, Zach",656716,"DET","SL","Slider",-2.6,-7,"265",12.6,"73","0.164","0.254","0.215",30.1,38.4,31.8,"0.156","0.261","0.212",25
"Rojas, Miguel",500743,"LAD","SL","Slider",-1.2,-3,"249",17.1,"73","0.254","0.31","0.263",31.1,16.4,15,"0.222","0.302","0.233",30
"Bell, Josh",605137,"MIA","SL","Slider",-1.1,-3,"289",11.9,"73","0.133","0.283","0.258",30.7,30.1,21.8,"0.144","0.232","0.249",41
"Doyle, Brenton",686668,"COL","SI","Sinker",-0.6,-2,"254",16,"73","0.246","0.338","0.298",18.8,23.3,35.4,"0.202","0.277","0.257",26.5
"Hampson, Garrett",641658,"MIA","FF","4-Seam Fastball",1,3,"302",31,"73","0.333","0.5","0.415",21.6,20.5,19,"0.282","0.437","0.363",37.5
"Cave, Jake",595909,"PHI","FF","4-Seam Fastball",0.3,1,"301",37,"73","0.275","0.493","0.347",21.8,24.7,17.3,"0.246","0.459","0.318",43.1
