Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Ryan Kreidler","DET",0.2,0.882352941,0.157894736,0.394736842,0.447368421,0.117647058,0.029411764,1,0.033333333,0,0,0.43589744,0.30769231,0.25641026,0.11538462,0.69230769,0.19230769,"Ryan Kreidler",25867,668952
"Donovan Walton","- - -",0.216216216,1.727272727,0.181818181,0.518181818,0.3,0.09090909,0.03030303,3,0.052631578,1,0.2,0.40869565,0.30434783,0.28695652,0.16521739,0.64347826,0.19130435,"Donovan Walton",19314,622268
"Jacob Wilson","OAK",0.305970149,1.885964912,0.197560975,0.524390243,0.27804878,0.105263157,0.078947368,14,0.065116279,1,0.333333333,0.36561743,0.37288136,0.26150121,0.16707022,0.64164649,0.19128329,"Jacob Wilson",33266,805779
"Garrett Stubbs","- - -",0.262295081,0.825242718,0.186147186,0.367965367,0.445887445,0.203883495,0.038834951,5,0.058823529,12,0.571428571,0.4484127,0.31746032,0.23412698,0.23809524,0.57142857,0.19047619,"Garrett Stubbs",18067,596117
"Jahmai Jones","- - -",0.322580645,1,0.233333333,0.383333333,0.383333333,0.260869565,0,1,0.04347826,1,0.333333333,0.36507937,0.3968254,0.23809524,0.23809524,0.57142857,0.19047619,"Jahmai Jones",18872,663330
"Walker Buehler","LAD",0.21875,4,0.032258064,0.774193548,0.193548387,0,0.166666666,2,0.083333333,0,0,0.14285714,0.4047619,0.45238095,0.26190476,0.54761905,0.19047619,"Walker Buehler",19374,621111
"Alejo Lopez","CIN",0.308510638,1.833333333,0.284210526,0.463157894,0.252631578,0.125,0.041666666,3,0.068181818,0,0,0.43157895,0.37894737,0.18947368,0.14736842,0.66315789,0.18947368,"Alejo Lopez",21127,664670
"Tyler Wade","- - -",0.293598233,1.338129496,0.214975845,0.449275362,0.335748792,0.057553956,0.035971223,14,0.075268817,17,0.303571428,0.3893617,0.33191489,0.2787234,0.17446809,0.63617021,0.1893617,"Tyler Wade",15730,642180
"Jacob Young","WSN",0.304,2.215517241,0.213080168,0.542194092,0.244725738,0.094827586,0.034482758,16,0.062256809,13,0.276595744,0.28790787,0.38003839,0.33205374,0.20153551,0.61036468,0.18809981,"Jacob Young",29931,696285
"Tyler Tolbert","KCR",0.466666666,1.75,0.266666666,0.466666666,0.266666666,0,0,2,0.285714285,0,0,0.3125,0.4375,0.25,0.25,0.5625,0.1875,"Tyler Tolbert",25779,686475
"José Azocar","- - -",0.34074074,2.029411764,0.219696969,0.522727272,0.257575757,0.058823529,0.058823529,6,0.086956521,2,0.285714285,0.26618705,0.42446043,0.30935252,0.13669065,0.67625899,0.18705036,"Jose Azocar",18821,640492
"Livan Soto","- - -",0.488372093,0.47368421,0.348837209,0.209302325,0.441860465,0.105263157,0,0,0,0,0,0.37209302,0.34883721,0.27906977,0.18604651,0.62790698,0.18604651,"Livan Soto",22471,670869
"Chuckie Robinson","- - -",0.161764705,3,0.142857142,0.642857142,0.214285714,0.133333333,0.133333333,0,0,0,0,0.3,0.35714286,0.34285714,0.3,0.51428571,0.18571429,"Chuckie Robinson",19824,642020
"Samad Taylor","- - -",0.296296296,1.3,0.115384615,0.5,0.384615384,0.1,0,1,0.076923076,0,0,0.14814815,0.40740741,0.44444444,0.25925926,0.55555556,0.18518519,"Samad Taylor",22274,669392
"Jonathan Davis","- - -",0.261111111,1.603448275,0.179347826,0.505434782,0.315217391,0.086206896,0.068965517,7,0.075268817,0,0,0.40322581,0.34946237,0.24731183,0.16666667,0.65053763,0.1827957,"Jonathan Davis",15104,641505
"Jacob Nottingham","- - -",0.225806451,0.866666666,0.151515151,0.393939393,0.454545454,0.133333333,0.133333333,1,0.076923076,0,0,0.42424242,0.27272727,0.3030303,0.24242424,0.57575758,0.18181818,"Jacob Nottingham",16448,641924
"Troy Stokes Jr.","PIT",0.181818181,0.8,0.181818181,0.363636363,0.454545454,0,0,1,0.25,0,0,0.54545455,0.18181818,0.27272727,0.27272727,0.54545455,0.18181818,"Troy Stokes Jr.",17478,657011
"Brett Sullivan","- - -",0.227272727,0.709677419,0.184615384,0.338461538,0.476923076,0.096774193,0,0,0,1,1,0.37878788,0.33333333,0.28787879,0.15151515,0.66666667,0.18181818,"Brett Sullivan",18217,664954
"Ryan Vilade","- - -",0.19047619,3.25,0.19047619,0.619047619,0.19047619,0,0,0,0,0,0,0.13636364,0.45454545,0.40909091,0.18181818,0.63636364,0.18181818,"Ryan Vilade",22165,668723
"Cam Devanney","PIT",0.181818181,0.285714285,0.181818181,0.181818181,0.636363636,0,0,0,0,0,0,0.63636364,0.27272727,0.09090909,0,0.81818182,0.18181818,"Cam Devanney",25688,687478
"Tyler Black","MIL",0.303030303,0.923076923,0.242424242,0.363636363,0.393939393,0.076923076,0,0,0,0,0,0.36363636,0.36363636,0.27272727,0.27272727,0.54545455,0.18181818,"Tyler Black",29949,672012
"Jack López","- - -",0.378378378,2,0.27027027,0.486486486,0.243243243,0.333333333,0.111111111,2,0.111111111,0,0,0.41025641,0.28205128,0.30769231,0.17948718,0.64102564,0.17948718,"Jack Lopez",13663,605346
"Clayton Kershaw","LAD",0.25,3.5,0.121951219,0.682926829,0.195121951,0,0,4,0.142857142,0,0,0.28571429,0.42857143,0.28571429,0.23214286,0.58928571,0.17857143,"Clayton Kershaw",2036,477132
"Esteury Ruiz","- - -",0.302238805,1.653846153,0.212927756,0.490494296,0.296577946,0.153846153,0.025641025,7,0.054263565,2,0.153846153,0.37681159,0.35144928,0.27173913,0.22463768,0.59782609,0.17753623,"Esteury Ruiz",21780,665923
"Alcides Escobar","WSN",0.322580645,1.486486486,0.258064516,0.443548387,0.298387096,0.094594594,0.054054054,9,0.081818181,3,0.5,0.32677165,0.4015748,0.27165354,0.23622047,0.58661417,0.17716535,"Alcides Escobar",6310,444876
"Zach DeLoach","CHW",0.294117647,2.125,0.264705882,0.5,0.235294117,0,0,2,0.117647058,0,0,0.32352941,0.32352941,0.35294118,0.14705882,0.67647059,0.17647059,"Zach DeLoach",27471,676113
"Patrick Mazeika","NYM",0.204545454,1.193548387,0.227272727,0.420454545,0.352272727,0.225806451,0.064516129,2,0.054054054,1,0.333333333,0.56043956,0.27472527,0.16483516,0.21978022,0.6043956,0.17582418,"Patrick Mazeika",18142,664850
"Cody Freeman","TEX",0.285714285,1.8,0.263157894,0.47368421,0.263157894,0.266666666,0.066666666,2,0.074074074,0,0,0.43103448,0.36206897,0.20689655,0.18965517,0.63793103,0.17241379,"Cody Freeman",25629,683227
"Michael Stefanic","- - -",0.296296296,1.777777777,0.2481203,0.481203007,0.270676691,0.194444444,0,4,0.0625,1,0.333333333,0.30147059,0.38235294,0.31617647,0.19852941,0.63235294,0.16911765,"Michael Stefanic",25353,683021
"Trey Lipscomb","WSN",0.311827956,2.95,0.159574468,0.627659574,0.212765957,0.25,0.05,3,0.050847457,0,0,0.25263158,0.42105263,0.32631579,0.22105263,0.61052632,0.16842105,"Trey Lipscomb",31567,702358
"Jeremy Hellickson","WSN",0.2,5,0,1,0,0,0,0,0,0,0,0.33333333,0.33333333,0.33333333,0.5,0.33333333,0.16666667,"Jeremy Hellickson",4371,476451
"José Pirela","- - -",0,0.2,0,0.166666666,0.833333333,0.2,0,0,0,0,0,0.33333333,0.33333333,0.33333333,0.5,0.33333333,0.16666667,"Jose Pirela",5485,517369
"Paolo Espino","WSN",0.363636363,6,0.363636363,0.545454545,0.09090909,0,0,1,0.166666666,0,0,0.25,0.41666667,0.33333333,0.16666667,0.66666667,0.16666667,"Paolo Espino",8246,502179
"Mike Minor","- - -",0,3,0.2,0.6,0.2,0,0,0,0,0,0,0.16666667,0.66666667,0.16666667,0.16666667,0.66666667,0.16666667,"Mike Minor",10021,501985
"Ryan LaMarre","- - -",0.09090909,1.75,0.083333333,0.583333333,0.333333333,0.5,0.25,1,0.142857142,0,0,0.5,0.16666667,0.33333333,0.5,0.33333333,0.16666667,"Ryan LaMarre",10700,534606
"Yu Darvish","- - -",0.181818181,6,0.186046511,0.697674418,0.116279069,0,0,0,0,0,0,0.33333333,0.41666667,0.25,0.33333333,0.5,0.16666667,"Yu Darvish",13074,506433
"Nick Pivetta","- - -",0.4,3,0.25,0.75,0,0,0,0,0,0,0,0,0.66666667,0.33333333,0.16666667,0.66666667,0.16666667,"Nick Pivetta",15454,601713
"Deivy Grullón","- - -",0.166666666,0.333333333,0.333333333,0.166666666,0.5,0.333333333,0,0,0,0,0,0.33333333,0,0.66666667,0.33333333,0.5,0.16666667,"Deivy Grullon",15988,620453
"Elieser Hernández","MIA",0.076923076,4.5,0.083333333,0.75,0.166666666,0.5,0,1,0.111111111,0,0,0.38888889,0.27777778,0.33333333,0.27777778,0.55555556,0.16666667,"Elieser Hernandez",16933,622694
"Chris Gittens","NYY",0.083333333,1.75,0.083333333,0.583333333,0.333333333,0,0,0,0,0,0,0.33333333,0.41666667,0.25,0.41666667,0.41666667,0.16666667,"Chris Gittens",18482,656467
"Cody Thomas","OAK",0.342857142,1.23076923,0.194444444,0.444444444,0.361111111,0.153846153,0.076923076,1,0.0625,0,0,0.41666667,0.27777778,0.30555556,0.13888889,0.69444444,0.16666667,"Cody Thomas",19828,642137
"Matthew Batten","SDP",0.25,1.166666666,0.1875,0.4375,0.375,0.166666666,0.041666666,1,0.035714285,1,0.5,0.33333333,0.3030303,0.36363636,0.21212121,0.62121212,0.16666667,"Matthew Batten",20157,676946
"Trevor Rogers","MIA",0.181818181,3,0.2,0.6,0.2,0,0,0,0,0,0,0.33333333,0.25,0.41666667,0.08333333,0.75,0.16666667,"Trevor Rogers",22286,669432
"Tirso Ornelas","SDP",0.083333333,0.833333333,0.083333333,0.416666666,0.5,0.166666666,0,0,0,0,0,0.25,0.58333333,0.16666667,0.16666667,0.66666667,0.16666667,"Tirso Ornelas",22566,672359
"Gustavo Campero","LAA",0.275862068,1.647058823,0.237288135,0.474576271,0.288135593,0.176470588,0.117647058,2,0.071428571,0,0,0.41666667,0.28333333,0.3,0.15,0.68333333,0.16666667,"Gustavo Campero",22707,672569
"Steward Berroa","- - -",0.222222222,1.333333333,0.176470588,0.470588235,0.352941176,0.333333333,0,2,0.25,0,0,0.55555556,0.22222222,0.22222222,0.33333333,0.5,0.16666667,"Steward Berroa",22766,672642
"Tristin English","ARI",0.166666666,0.666666666,0.166666666,0.333333333,0.5,0,0,0,0,0,0,0.33333333,0.16666667,0.5,0.08333333,0.75,0.16666667,"Tristin English",26148,663536
"Ronald Torreyes","- - -",0.236559139,1.620689655,0.187165775,0.502673796,0.310160427,0.120689655,0.068965517,9,0.09574468,1,0.125,0.44102564,0.33333333,0.22564103,0.21025641,0.62564103,0.16410256,"Ronald Torreyes",11400,591720
"Vince Velasquez","- - -",0.24137931,4.25,0.25,0.607142857,0.142857142,0.25,0.25,1,0.058823529,0,0,0.21621622,0.37837838,0.40540541,0.2972973,0.54054054,0.16216216,"Vince Velasquez",11189,592826
"Chris Paddack","SDP",0.173913043,8.5,0.173913043,0.739130434,0.086956521,0,0,2,0.117647058,0,0,0.16129032,0.4516129,0.38709677,0.09677419,0.74193548,0.16129032,"Chris Paddack",20099,663978
"Kyle Freeland","COL",0.368421052,1.2,0.266666666,0.4,0.333333333,0,0,0,0,2,0.2,0.36,0.32,0.32,0.2,0.64,0.16,"Kyle Freeland",16256,607536
"Sandy Alcantara","MIA",0.260869565,13,0.235294117,0.764705882,0,0,0,0,0,1,0.125,0.4,0.2,0.4,0.28,0.56,0.16,"Sandy Alcantara",18684,645261
"Matt Skole","CHW",0.342105263,1.066666666,0.184210526,0.421052631,0.394736842,0.2,0,3,0.1875,0,0,0.26315789,0.28947368,0.44736842,0.23684211,0.60526316,0.15789474,"Matt Skole",12119,605474
"Bryce Johnson","- - -",0.347222222,1.227272727,0.289855072,0.391304347,0.318840579,0,0.09090909,2,0.074074074,1,0.142857142,0.39473684,0.34210526,0.26315789,0.09210526,0.75,0.15789474,"Bryce Johnson",20002,669369
"JB Shuck","PIT",0.23076923,2.5,0.16,0.6,0.24,0,0,2,0.133333333,1,1,0.26923077,0.42307692,0.30769231,0.26923077,0.57692308,0.15384615,"JB Shuck",6677,543776
"Tyler Beede","SFG",0.363636363,8,0.181818181,0.727272727,0.09090909,0,0,0,0,0,0,0.46153846,0.30769231,0.23076923,0.23076923,0.61538462,0.15384615,"Tyler Beede",16981,595881
"Ben DeLuzio","STL",0.25,1.333333333,0.416666666,0.333333333,0.25,0.333333333,0,0,0,0,0,0.30769231,0.53846154,0.15384615,0.30769231,0.53846154,0.15384615,"Ben DeLuzio",19644,641512
"Tyler Heineman","- - -",0.258771929,0.682692307,0.197247706,0.325688073,0.47706422,0.192307692,0.028846153,5,0.070422535,6,0.260869565,0.42738589,0.32365145,0.24896266,0.23651452,0.60995851,0.15352697,"Tyler Heineman",13897,623168
"Rajai Davis","NYM",0.142857142,3,0.333333333,0.5,0.166666666,0,0,0,0,0,0,0.71428571,0,0.28571429,0.28571429,0.57142857,0.14285714,"Rajai Davis",3708,434658
"Bobby Wilson","DET",0.148148148,1.3,0.148148148,0.481481481,0.37037037,0.4,0,0,0,0,0,0.5,0.17857143,0.32142857,0.39285714,0.46428571,0.14285714,"Bobby Wilson",6564,435064
"Carlos Carrasco","NYM",0,3,0,1,0,0,0,0,0,0,0,0.14285714,0.71428571,0.14285714,0,0.85714286,0.14285714,"Carlos Carrasco",6632,471911
"Tim Melville","COL",0.4,4,0.2,0.8,0,0,0,0,0,0,0,0.28571429,0.28571429,0.42857143,0.57142857,0.28571429,0.14285714,"Tim Melville",9149,543532
