Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Daz Cameron","- - -",0.302752293,0.788461538,0.191304347,0.356521739,0.452173913,0.096153846,0.115384615,3,0.073170731,0,0,0.29565217,0.45217391,0.25217391,0.10434783,0.53913043,0.35652174,"Daz Cameron",18353,663662
"Jay Bruce","- - -",0.19402985,0.538461538,0.166666666,0.291666666,0.541666666,0.051282051,0.153846153,0,0,0,0,0.42465753,0.31506849,0.26027397,0.23287671,0.4109589,0.35616438,"Jay Bruce",9892,457803
"Jesús Aguilar","- - -",0.286604361,0.835616438,0.211764705,0.358823529,0.429411764,0.116438356,0.130136986,4,0.032786885,0,0,0.42058824,0.35588235,0.22352941,0.18235294,0.46176471,0.35588235,"Jesus Aguilar",11342,542583
"Renato Núñez","- - -",0.269230769,0.670212765,0.203045685,0.319796954,0.47715736,0.159574468,0.159574468,3,0.047619047,0,0,0.42639594,0.29949239,0.27411168,0.2284264,0.41624365,0.35532995,"Renato Nunez",14503,600524
"Dairon Blanco","KCR",0.388888888,0.766666666,0.184615384,0.353846153,0.461538461,0.066666666,0.133333333,4,0.173913043,8,0.727272727,0.22368421,0.44736842,0.32894737,0.11842105,0.52631579,0.35526316,"Dairon Blanco",19779,680118
"Michael A. Taylor","- - -",0.320987654,0.958083832,0.225118483,0.379146919,0.395734597,0.071856287,0.16766467,15,0.09375,6,0.333333333,0.44545455,0.33863636,0.21590909,0.13636364,0.50909091,0.35454545,"Michael A. Taylor",11489,572191
"Will Smith","LAD",0.277777777,0.632575757,0.195895522,0.311567164,0.492537313,0.056818181,0.125,12,0.071856287,0,0,0.37313433,0.35261194,0.27425373,0.1119403,0.53358209,0.35447761,"Will Smith",19197,669257
"Andrew McCutchen","- - -",0.295575221,0.941422594,0.231788079,0.372516556,0.395695364,0.129707112,0.163179916,19,0.084444444,0,0,0.5115894,0.31953642,0.16887417,0.14900662,0.49668874,0.35430464,"Andrew McCutchen",9847,457705
"Ryan Zimmerman","WSN",0.394230769,1.394736842,0.194690265,0.469026548,0.336283185,0.078947368,0.236842105,2,0.037735849,0,0,0.46902655,0.30973451,0.22123894,0.17699115,0.46902655,0.3539823,"Ryan Zimmerman",4220,475582
"Nick Gonzales","PIT",0.316770186,1.129032258,0.209580838,0.419161676,0.371257485,0.080645161,0.096774193,4,0.057142857,0,0,0.46107784,0.33532934,0.20359281,0.13772455,0.50898204,0.35329341,"Nick Gonzales",27490,693304
"Bo Bichette","TOR",0.328600405,1.532051282,0.240384615,0.459615384,0.3,0.044871794,0.185897435,12,0.050209205,1,1,0.32821497,0.33205374,0.33973129,0.12859885,0.51823417,0.35316699,"Bo Bichette",19612,666182
"Cal Raleigh","SEA",0.245664739,0.525581395,0.154639175,0.291237113,0.554123711,0.148837209,0.195348837,8,0.07079646,0,0,0.50773196,0.30154639,0.19072165,0.19845361,0.44845361,0.35309278,"Cal Raleigh",21534,663728
"Michael Brantley","HOU",0.287153652,1.943925233,0.218362282,0.516129032,0.265508684,0.056074766,0.06542056,6,0.028846153,1,0.5,0.36790123,0.38271605,0.24938272,0.14814815,0.49876543,0.35308642,"Michael Brantley",4106,488726
"Mike Zunino","- - -",0.278787878,0.461538461,0.187165775,0.256684491,0.556149732,0.192307692,0.211538461,4,0.083333333,0,0,0.51871658,0.28342246,0.19786096,0.21390374,0.43315508,0.35294118,"Mike Zunino",13265,572287
"Addison Russell","CHC",0.25,1.133333333,0.058823529,0.5,0.44117647,0,0.133333333,2,0.117647058,0,0,0.35294118,0.29411765,0.35294118,0.14705882,0.5,0.35294118,"Addison Russell",14106,608365
"Yoshi Tsutsugo","- - -",0.319587628,1.236842105,0.166666666,0.460784313,0.372549019,0.026315789,0.131578947,3,0.063829787,0,0,0.33333333,0.33333333,0.33333333,0.10784314,0.53921569,0.35294118,"Yoshi Tsutsugo",27459,660294
"Niko Goodrum","- - -",0.404761904,2.022727272,0.231213872,0.514450867,0.25433526,0,0.113636363,7,0.078651685,0,0,0.33526012,0.41618497,0.24855491,0.10982659,0.53757225,0.35260116,"Niko Goodrum",12092,592348
"Alex Bregman","- - -",0.266747868,0.758354755,0.209248554,0.341040462,0.449710982,0.133676092,0.113110539,15,0.050847457,0,0,0.46705202,0.33988439,0.19306358,0.1699422,0.47745665,0.35260116,"Alex Bregman",17678,608324
"Lourdes Gurriel Jr.","- - -",0.329835082,1.136,0.238231098,0.40513552,0.35663338,0.08,0.14,21,0.073943661,1,1,0.39173789,0.33475783,0.27350427,0.13960114,0.50854701,0.35185185,"Lourdes Gurriel Jr.",19238,666971
"Gabriel Moreno","- - -",0.366935483,1.626666666,0.221343873,0.482213438,0.296442687,0.106666666,0.066666666,11,0.090163934,0,0,0.32411067,0.39920949,0.27667984,0.11067194,0.53754941,0.35177866,"Gabriel Moreno",22664,672515
"Ryan Mountcastle","BAL",0.328155339,1.096938775,0.25136612,0.391621129,0.35701275,0.056122448,0.173469387,11,0.05116279,0,0,0.3442623,0.38069217,0.27504554,0.14025501,0.50819672,0.35154827,"Ryan Mountcastle",18373,663624
"Joey Meneses","WSN",0.330708661,1.445783132,0.225190839,0.458015267,0.316793893,0.072289156,0.096385542,8,0.066666666,0,0,0.42748092,0.32061069,0.2519084,0.11832061,0.53053435,0.35114504,"Joey Meneses",14366,608841
"Jackson Chourio","MIL",0.36199095,1.32,0.236842105,0.434210526,0.328947368,0.08,0.133333333,14,0.141414141,1,0.333333333,0.32900433,0.43290043,0.23809524,0.16450216,0.48484848,0.35064935,"Jackson Chourio",28806,694192
"Nomar Mazara","- - -",0.298507462,1.391304347,0.214285714,0.457142857,0.328571428,0.065217391,0.130434782,6,0.09375,0,0,0.33571429,0.35,0.31428571,0.2,0.45,0.35,"Nomar Mazara",14553,608577
"Emmanuel Rivera","- - -",0.31081081,1.395833333,0.240924092,0.442244224,0.316831683,0.052083333,0.072916666,12,0.089552238,0,0,0.3630363,0.36633663,0.27062706,0.10561056,0.54455446,0.34983498,"Emmanuel Rivera",19890,656896
"Connor Wong","BOS",0.313131313,1.093333333,0.207070707,0.414141414,0.378787878,0.12,0.066666666,4,0.048780487,2,0.4,0.41871921,0.32512315,0.25615764,0.14285714,0.50738916,0.34975369,"Connor Wong",19896,657136
"Juan Lagares","- - -",0.29113924,1.015384615,0.18125,0.4125,0.40625,0.076923076,0.061538461,4,0.06060606,1,0.333333333,0.38650307,0.34969325,0.26380368,0.19018405,0.4601227,0.34969325,"Juan Lagares",5384,501571
"Yainer Diaz","HOU",0.296428571,1.292929292,0.230508474,0.433898305,0.33559322,0.06060606,0.151515151,9,0.0703125,0,0,0.39322034,0.37966102,0.22711864,0.10847458,0.54237288,0.34915254,"Yainer Diaz",23003,673237
"Freddie Freeman","- - -",0.317191283,1.198019801,0.23798627,0.415331807,0.346681922,0.03960396,0.158415841,20,0.055096418,0,0,0.35926773,0.35011442,0.29061785,0.13501144,0.51601831,0.34897025,"Freddie Freeman",5361,518692
"Marcus Semien","- - -",0.292892156,0.795755968,0.207259953,0.351288056,0.44145199,0.074270557,0.100795755,32,0.106666666,0,0,0.470726,0.32201405,0.20725995,0.13934426,0.5117096,0.34894614,"Marcus Semien",12533,543760
"José Rondon","- - -",0.3125,0.857142857,0.226190476,0.357142857,0.416666666,0.114285714,0.142857142,0,0,0,0,0.40697674,0.36046512,0.23255814,0.1627907,0.48837209,0.34883721,"Jose Rondon",14140,602922
"Jared Walsh","- - -",0.229508196,1.75,0.180392156,0.521568627,0.298039215,0.118421052,0.184210526,9,0.067669172,0,0,0.47674419,0.34496124,0.17829457,0.18604651,0.46511628,0.34883721,"Jared Walsh",18607,665120
"Nick Kurtz","ATH",0.233766233,0.69047619,0.174418604,0.337209302,0.488372093,0.095238095,0.214285714,3,0.103448275,0,0,0.36046512,0.20930233,0.43023256,0.12790698,0.52325581,0.34883721,"Nick Kurtz",35110,701762
"Sam Hilliard","- - -",0.265957446,0.978260869,0.157407407,0.416666666,0.425925925,0.130434782,0.304347826,5,0.111111111,0,0,0.42201835,0.33944954,0.23853211,0.1559633,0.49541284,0.34862385,"Sam Hilliard",17954,656541
"Jordy Mercer","- - -",0.38372093,1.565217391,0.337078651,0.404494382,0.258426966,0.260869565,0.130434782,3,0.083333333,0,0,0.46067416,0.35955056,0.17977528,0.19101124,0.46067416,0.34831461,"Jordy Mercer",6547,474568
"Junior Caminero","TBR",0.25609756,1.593220338,0.140449438,0.528089887,0.331460674,0.084745762,0.237288135,4,0.042553191,0,0,0.43820225,0.38202247,0.17977528,0.11797753,0.53370787,0.34831461,"Junior Caminero",28163,691406
"Matt Adams","- - -",0.243902439,1.4,0.217391304,0.456521739,0.326086956,0.066666666,0.333333333,1,0.047619047,0,0,0.5,0.30434783,0.19565217,0.23913043,0.41304348,0.34782609,"Matt Adams",9393,571431
"Taylor Jones","HOU",0.478260869,2.6,0.217391304,0.565217391,0.217391304,0,0,0,0,0,0,0.43478261,0.17391304,0.39130435,0.04347826,0.60869565,0.34782609,"Taylor Jones",19533,622100
"Kyle Karros","COL",0.173913043,1.125,0.260869565,0.391304347,0.347826086,0.125,0,0,0,0,0,0.56521739,0.26086957,0.17391304,0.17391304,0.47826087,0.34782609,"Kyle Karros",33252,691720
"Jac Caglianone","KCR",0.186046511,2.416666666,0.108695652,0.630434782,0.260869565,0,0.25,1,0.034482758,0,0,0.5,0.32608696,0.17391304,0.2826087,0.36956522,0.34782609,"Jac Caglianone",35041,695506
"Eric Haase","- - -",0.298642533,0.989690721,0.202479338,0.396694214,0.400826446,0.103092783,0.216494845,5,0.052083333,0,0,0.47520661,0.30991736,0.21487603,0.13636364,0.51652893,0.34710744,"Eric Haase",14111,606992
"Ryan Kreidler","DET",0.195652173,1.25,0.2,0.444444444,0.355555555,0,0.0625,4,0.2,2,0.5,0.53061224,0.32653061,0.14285714,0.14285714,0.51020408,0.34693878,"Ryan Kreidler",25867,668952
"Brandon Belt","- - -",0.267605633,0.71875,0.236111111,0.319444444,0.444444444,0.0625,0.09375,1,0.014492753,5,0.833333333,0.33333333,0.35585586,0.31081081,0.14864865,0.5045045,0.34684685,"Brandon Belt",10264,474832
"Jesse Winker","- - -",0.263157894,2.0125,0.18581081,0.543918918,0.27027027,0.175,0.15,7,0.04347826,0,0,0.34006734,0.37710438,0.28282828,0.18181818,0.47138047,0.34680135,"Jesse Winker",13590,608385
"Jake Meyers","HOU",0.337121212,1.181818181,0.208791208,0.428571428,0.362637362,0.111111111,0.101010101,14,0.119658119,0,0,0.45255474,0.35766423,0.18978102,0.15328467,0.5,0.34671533,"Jake Meyers",20308,676694
"Lane Thomas","- - -",0.334782608,0.963730569,0.216942148,0.38429752,0.39876033,0.129533678,0.129533678,16,0.086021505,1,1,0.43505155,0.32164948,0.24329897,0.20206186,0.45154639,0.34639175,"Lane Thomas",16939,657041
"Ramón Laureano","- - -",0.337278106,1.285714285,0.225325884,0.435754189,0.338919925,0.065934065,0.164835164,14,0.059829059,0,0,0.45251397,0.30353818,0.24394786,0.13594041,0.51769088,0.34636872,"Ramon Laureano",17128,657656
"Luis Matos","SFG",0.248554913,0.987341772,0.132596685,0.430939226,0.436464088,0.063291139,0.101265822,4,0.051282051,0,0,0.47802198,0.36813187,0.15384615,0.1043956,0.54945055,0.34615385,"Luis Matos",26467,682641
"Roman Anthony","BOS",0.4375,1.933333333,0.153846153,0.557692307,0.288461538,0.066666666,0.266666666,1,0.034482758,0,0,0.42307692,0.44230769,0.13461538,0.15384615,0.5,0.34615385,"Roman Anthony",31812,701350
"Christian Moore","LAA",0.304347826,0.833333333,0.153846153,0.384615384,0.461538461,0,0.25,1,0.1,0,0,0.26923077,0.34615385,0.38461538,0.19230769,0.46153846,0.34615385,"Christian Moore",34979,695681
"Ozzie Albies","ATL",0.336676217,1.045936395,0.210095497,0.403819918,0.386084583,0.091872791,0.12720848,36,0.121621621,0,0,0.45776567,0.32016349,0.22207084,0.13079019,0.52316076,0.34604905,"Ozzie Albies",16556,645277
"Mike Moustakas","- - -",0.260869565,1.04347826,0.184027777,0.416666666,0.399305555,0.095652173,0.113043478,7,0.058333333,0,0,0.42560554,0.34602076,0.2283737,0.17647059,0.47750865,0.34602076,"Mike Moustakas",4892,519058
"Victor Caratini","- - -",0.308510638,1.731707317,0.232876712,0.486301369,0.280821917,0.085365853,0.121951219,4,0.028169014,0,0,0.3630137,0.39726027,0.23972603,0.15068493,0.50342466,0.34589041,"Victor Caratini",14968,605170
