Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Roberto Osuna","HOU",0.1875,1.06060606,0.170731707,0.426829268,0.402439024,0.151515151,0.09090909,179,342,521,0.40963855,0.42168675,0.1686747,0.27710843,0.39759036,0.3253012,"Roberto Osuna",13764,532077
"Dario Agrazal","PIT",0.24778761061946902,0.649122807,0.216666666,0.308333333,0.475,0.052631578,0.122807017,225,380,605,0.38333333,0.34166667,0.275,0.18333333,0.49166667,0.325,"Dario Agrazal",15821,642607
"Jimmy Cordero","- - -",0.19444444444444445,3.166666666,0.324324324,0.513513513,0.162162162,0,0.166666666,96,152,248,0.51351351,0.27027027,0.21621622,0.21621622,0.45945946,0.32432432,"Jimmy Cordero",15690,622772
"Martín Pérez","MIN",0.2803738317757009,2.148148148,0.205607476,0.542056074,0.252336448,0.148148148,0.037037037,156,374,530,0.34259259,0.40740741,0.25,0.22222222,0.4537037,0.32407407,"Martin Perez",6902,527048
"Stephen Strasburg","WSN",0.24553571428571427,1.466666666,0.202586206,0.474137931,0.323275862,0.066666666,0.146666666,588,998,1586,0.36595745,0.34893617,0.28510638,0.21702128,0.45957447,0.32340426,"Stephen Strasburg",10131,544931
"Steven Matz","NYM",0.30851063829787234,1.74074074,0.244897959,0.479591836,0.275510204,0,0.185185185,198,336,534,0.31313131,0.29292929,0.39393939,0.19191919,0.48484848,0.32323232,"Steven Matz",13361,571927
"Mike Clevinger","CLE",0.29559748427672955,1.31372549,0.271604938,0.413580246,0.314814814,0.117647058,0.098039215,425,694,1119,0.42073171,0.32926829,0.25,0.18902439,0.48780488,0.32317073,"Mike Clevinger",12808,605182
"Cole Hamels","CHC",0.3111111111111111,1.592592592,0.222222222,0.477777777,0.3,0.185185185,0.111111111,164,308,472,0.41935484,0.33333333,0.24731183,0.12903226,0.5483871,0.32258065,"Cole Hamels",4972,430935
"José Urquidy","HOU",0.20754716981132076,0.74074074,0.129629629,0.37037037,0.5,0.111111111,0.111111111,134,223,357,0.46428571,0.30357143,0.23214286,0.21428571,0.46428571,0.32142857,"Jose Urquidy",18413,664353
"Caleb Smith","MIA",0.25,0.864864864,0.265957446,0.340425531,0.393617021,0.108108108,0.108108108,198,382,580,0.4,0.3,0.3,0.18,0.5,0.32,"Caleb Smith",14875,592761
