"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Bednar, David",670280,"PIT","FF","4-Seam Fastball",-0.9,-5,"568",55.5,"158","0.256","0.459","0.377",24.1,18.4,16.7,"0.241","0.486","0.366",42.5
"Rogers, Trevor",669432,"BAL","SI","Sinker",-1.2,-6,"542",24.2,"158","0.298","0.496","0.379",10,12,15.1,"0.319","0.511","0.415",47.9
"Cannon, Jonathan",686563,"CWS","SI","Sinker",0.3,2,"568",28,"157","0.287","0.449","0.371",13.2,12.1,16.7,"0.307","0.491","0.395",52.5
"Holmes, Clay",605280,"NYY","SI","Sinker",-0.5,-3,"610",56.2,"156","0.319","0.428","0.372",22.6,13.5,15.4,"0.284","0.395","0.337",38.3
"Wilson, Bryse",669060,"MIL","SI","Sinker",1.3,7,"528",32.1,"156","0.241","0.372","0.296",13.3,16,19.7,"0.299","0.463","0.359",50
"Keller, Mitch",656605,"PIT","ST","Sweeper",0.6,3,"441",15.5,"156","0.204","0.331","0.263",25,30.8,21.6,"0.195","0.306","0.264",25
"Rea, Colin",607067,"MIL","FF","4-Seam Fastball",0.3,2,"516",19.5,"155","0.21","0.319","0.281",25.2,32.3,19.8,"0.232","0.365","0.303",38.2
"Rogers, Trevor",669432,"BAL","CH","Changeup",-0.9,-5,"528",23.5,"155","0.293","0.395","0.344",24,17.4,12.8,"0.263","0.356","0.296",44.2
"Cronin, Declan",686539,"MIA","SL","Slider",0.3,2,"564",51.5,"155","0.262","0.331","0.299",31.6,26.5,27.2,"0.242","0.38","0.291",34
"Hudson, Dakota",641712,"COL","SI","Sinker",-0.3,-1,"492",32.6,"155","0.299","0.433","0.375",8,3.2,5.3,"0.328","0.529","0.416",50.8
"Skenes, Paul",694973,"PIT","FS","Split-Finger",2.8,17,"603",28.4,"155","0.184","0.234","0.238",29.3,20,26.7,"0.23","0.328","0.287",35.5
"Sears, JP",676664,"ATH","CH","Changeup",-0.5,-3,"549",19.2,"155","0.297","0.428","0.332",18.8,6.5,8.4,"0.28","0.463","0.34",29.2
"De Los Santos, Enyel",660853,"CWS","FF","4-Seam Fastball",-1.6,-9,"556",49.3,"154","0.311","0.622","0.431",20.4,18.8,15.3,"0.267","0.558","0.392",47.2
"Houser, Adrian",605288,"NYM","SI","Sinker",-0.5,-2,"503",44.5,"153","0.252","0.382","0.352",12.2,13.1,15.7,"0.246","0.397","0.34",41.4
"Miller, Bryce",682243,"SEA","SI","Sinker",1.6,8,"475",17.3,"153","0.248","0.358","0.312",9.7,17,27.4,"0.279","0.438","0.351",47.3
"Ortiz, Luis",682847,"PIT","SL","Slider",-0.8,-5,"574",26.8,"153","0.203","0.392","0.282",30.8,31.4,20.9,"0.208","0.379","0.278",27.8
"Corbin, Patrick",571578,"WSH","FC","Cutter",-0.8,-4,"554",19.2,"153","0.301","0.434","0.342",22.3,22.9,17.4,"0.279","0.428","0.327",49.5
"Gore, MacKenzie",669022,"WSH","CU","Curveball",0.2,1,"581",19.4,"153","0.221","0.3","0.28",33.9,34.6,23.5,"0.199","0.265","0.24",37.5
"Civale, Aaron",650644,"MIL","SI","Sinker",0,0,"652",24.2,"153","0.235","0.394","0.33",16.1,17,16.6,"0.257","0.421","0.343",43.1
"Ortiz, Luis",682847,"PIT","FF","4-Seam Fastball",1.1,6,"572",26.7,"153","0.187","0.331","0.264",20.9,28.8,18.1,"0.203","0.421","0.304",41.1
"Pérez, Martín",527048,"SD","CH","Changeup",-1.1,-6,"501",22.7,"152","0.28","0.448","0.345",34.1,27,23.4,"0.262","0.439","0.323",31.1
"Lively, Ben",594902,"CLE","FF","4-Seam Fastball",-0.6,-4,"736",30.6,"151","0.282","0.524","0.409",16.3,10.6,14.3,"0.263","0.533","0.401",54.6
"Rodríguez, Yariel",684320,"TOR","SL","Slider",0.1,1,"424",28.2,"151","0.213","0.36","0.29",33.5,32.5,25.9,"0.196","0.354","0.281",35.6
"Birdsong, Hayden",806185,"SF","FF","4-Seam Fastball",-0.4,-3,"619",44.6,"151","0.216","0.44","0.364",18.2,16.6,16.1,"0.271","0.545","0.419",54.3
"Wacha, Michael",608379,"KC","FF","4-Seam Fastball",0.3,2,"606",23.3,"150","0.284","0.455","0.359",16.8,18,16.6,"0.293","0.492","0.372",40.4
"Montgomery, Jordan",656756,"AZ","CU","Curveball",-0.7,-4,"593",30.7,"150","0.27","0.453","0.332",35.3,22,15.1,"0.247","0.356","0.289",35.5
"King, Michael",650633,"SD","FF","4-Seam Fastball",0,0,"700",24.2,"150","0.265","0.402","0.333",26.1,27.3,15.6,"0.227","0.417","0.323",42.4
"Koenig, Jared",657649,"MIL","SI","Sinker",0.9,5,"576",56.6,"150","0.235","0.303","0.301",17.7,21.3,19,"0.238","0.383","0.319",37.6
"Tonkin, Michael",543859,"MIN","FF","4-Seam Fastball",0.2,1,"536",37.8,"150","0.205","0.352","0.327",23.7,30.7,21.3,"0.231","0.433","0.353",38.5
"Miller, Mason",695243,"ATH","FF","4-Seam Fastball",1.8,11,"646",63.1,"150","0.178","0.319","0.255",37.1,37.3,28.4,"0.181","0.288","0.253",37.5
"Maeda, Kenta",628317,"DET","FS","Split-Finger",-0.8,-5,"609",31.1,"149","0.218","0.423","0.301",30.4,25.5,15.1,"0.247","0.426","0.308",46.7
"Castillo, Luis",622491,"SEA","SL","Slider",0.5,3,"639",22.4,"149","0.207","0.357","0.261",35.8,30.2,18.3,"0.221","0.362","0.271",41.2
"Pepiot, Ryan",686752,"TB","CH","Changeup",-0.7,-4,"504",23.5,"149","0.216","0.353","0.3",28.6,28.9,20.4,"0.24","0.351","0.285",34
"Baz, Shane",669358,"TB","FF","4-Seam Fastball",0.5,3,"578",47.9,"149","0.252","0.37","0.324",22.1,18.1,19.4,"0.228","0.403","0.324",47.1
"Peralta, Freddy",642547,"MIL","SL","Slider",-0.4,-3,"661",21.6,"149","0.203","0.384","0.283",41,31.5,19.3,"0.202","0.349","0.272",23.9
"Gray, Sonny",543243,"STL","SI","Sinker",1,5,"443",17.8,"148","0.2","0.385","0.291",20.7,35.8,33.8,"0.213","0.387","0.291",46.4
"Megill, Tylor",656731,"NYM","FF","4-Seam Fastball",0.3,2,"637",46.7,"148","0.228","0.35","0.351",29.3,26.4,21.5,"0.226","0.411","0.344",48.8
"Stone, Gavin",694813,"LAD","SI","Sinker",-0.7,-3,"465",21.6,"148","0.319","0.489","0.383",12.4,8.8,12.1,"0.274","0.413","0.331",32.5
"Ginkel, Kevin",656464,"AZ","FF","4-Seam Fastball",0.2,1,"624",52.7,"148","0.269","0.418","0.327",20.2,20.9,15.2,"0.233","0.411","0.309",47.6
"Floro, Dylan",571670,"AZ","SI","Sinker",1.2,6,"502",49.3,"148","0.272","0.375","0.315",8.4,16.2,21.2,"0.28","0.423","0.337",43
"Vest, Will",676684,"DET","FF","4-Seam Fastball",2.3,15,"651",56,"147","0.183","0.214","0.223",22.9,27.2,18.8,"0.239","0.381","0.298",44.8
"Webb, Logan",657277,"SF","ST","Sweeper",0.4,3,"680",21.3,"147","0.239","0.331","0.271",26.8,27.2,14.9,"0.249","0.376","0.283",38.8
"Foley, Jason",671345,"DET","SI","Sinker",0,0,"501",55.4,"147","0.295","0.419","0.352",13.8,14.3,16.9,"0.291","0.45","0.364",48.6
"Miller, Bryce",682243,"SEA","FS","Split-Finger",1.7,8,"469",17.1,"147","0.148","0.225","0.174",29,36.7,21.7,"0.18","0.284","0.213",34.8
"Freeland, Kyle",607536,"COL","SI","Sinker",-1.3,-6,"470",26.6,"147","0.306","0.567","0.406",7.5,11.6,14.8,"0.289","0.511","0.372",43.2
"Cabrera, Edward",665795,"MIA","CH","Changeup",0.2,1,"566",32.6,"147","0.192","0.3","0.282",34.7,30.6,24.9,"0.21","0.37","0.298",41.9
"Quantrill, Cal",615698,"COL","SI","Sinker",-2.1,-13,"635",24,"147","0.404","0.64","0.504",16.2,12.9,13.9,"0.311","0.481","0.422",51
"Doval, Camilo",666808,"SF","SL","Slider",1.1,6,"570",51.1,"147","0.184","0.272","0.265",44.8,38.8,28.8,"0.123","0.18","0.217",37.1
"Lodolo, Nick",666157,"CIN","CU","Curveball",-0.6,-3,"509",27.3,"146","0.217","0.302","0.276",42.9,44.5,27.3,"0.166","0.236","0.231",26.2
"Mears, Nick",683232,"MIL","FF","4-Seam Fastball",0.7,4,"619",60.2,"146","0.24","0.4","0.321",20,23.3,19.3,"0.233","0.406","0.323",38.3
